898.567,615.851
862.514,572.553
821.782,537.217
824.415,544.887
880.955,584.468
850.252,547.713
851.82,581.771
911.906,604.779
844.644,548.111
800.2,537.718
818.764,552.917
865.319,575.812
881.947,598.165
881.888,587.888
901.297,592.48
821.896,528.08
907.922,573.496
874.349,572.729
842.673,578.417
822.832,530.07
774.83,515.064
860.111,590.137
811.884,538.95
891.715,581.51
869.102,582.483
854.817,581.506
849.009,569.781
892.974,607.399
914.494,592.625
851.999,569.498
822.092,554.97
799.897,516.586
842.081,543.458
828.911,543.388
878.476,589.709
834.289,555.581
837.335,557.882
841.11,557.103
861.349,540.881
810.588,553.755
803.763,528.478
855.122,563.465
893.358,586.259
833.251,546.062
874.13,590.932
867.179,593.141
850.34,543.383
849.624,570.688
824.193,548.505
802.395,514.48
861.312,558.614
885.777,589.955
890.315,571.06
881.225,564.6
850.97,540.55
893.918,573.977
850.903,545.753
860.988,552.772
835.738,544.685
849.865,558.605
805.606,527.029
847.475,576.271
902.961,577.519
907.819,596.083
821.236,546.312
838.059,542.33
830.41,560.978
898.041,565.627
888.863,602.926
871.842,570.563
874.673,548.483
838.718,559.955
879.477,552.454
880.009,546.764
843.139,543.472
862.652,585.999
853.998,555.897
885.75,577.82
811.669,555.924
870.125,587.996
834.319,526.729
874.835,600.45
817.915,535.304
875.796,581.927
816.319,516.125
819.612,558.036
880.767,582.888
881.895,562.039
938.515,647.39
858.223,578.218
913.597,603.659
854.811,545.281
857.705,583.928
899.194,588.65
826.828,528.022
861.859,578.203
874.957,584.246
861.727,575.199
850.095,560.903
853.28,550.682
Time taken to run a for loop = 460 milliseconds.
